HubSpot Link,Account Domain,Ticket ID,Cancellation Request Date,Cancellation Scheduled Date,Cancellation Status,Is client staying with Sierra?,Current Contract Term Fulfilled?,Churn Reason H2,New Provider,Sales Deal Owner,Outstanding Balance in Sierra? (overdue invoices only),Outstanding Balance in Google Ads?,CSM Assigned,Early Termination Fee (if paid),Early Termination Type,Ticket - Distinct count,Ticket Service Level,Pipeline,Site_DB,Account_Type,Site_Type,Site_Start_Date,Site_End_Date,Length of Service,Total_Leads,Active_Site_Users,Cancellation Reason Details,Leave any other comments here that you want to bring to our attention. ,Row Number,SiteID in HubSpot,SiteID in CAA,Company ID,OldID,Lifecycle Stage,Delayed Billing,ICP?,"What was your biggest goal with using Sierra, and where did we fall short?",Site_Status
https://app.hubspot.com/contacts/21458556/ticket/1693836576,metrolouisvillemls.net,1693836576,,2023-06-15,Cancelled Final,,Yes,,,,,,,,,6,,Billing,1,Full Account,Legacy Stealth Site,2009-12-02,2023-06-15,13.542465753424658,1187,1,,,757,,1-240,8691755138,1,,,No,,Delete
https://app.hubspot.com/contacts/21458556/ticket/2227347756,mnolanandassociates.com,2227347756,2024-01-05,2024-01-18,Cancelled Final,,Yes,,Luxury Presence,,,,,,,27,Low Touch,Billing,13,Full Account,Pro Site,2020-10-23,2024-01-18,3.2383561643835614,1407,3,,,1238,,13-2615,8691755181,1,,,No,,Delete
https://app.hubspot.com/contacts/21458556/ticket/1586145458,madeleinemickeybrown.com,1586145458,,2023-05-21,Cancelled Final,,Yes,,,,,,,,,10,,Billing,1,Full Account,IDX Search Tools Only,2014-06-16,2023-05-26,8.934246575342465,0,1,,,588,,1-477,8691762735,1,,,No,,Delete
https://app.hubspot.com/contacts/21458556/ticket/1702459495,bennettwebbrealty.com,1702459495,,2023-06-19,Cancelled Final,,Yes,,,,,,,,,15,,Billing,1,Full Account,Legacy Site,2007-03-23,2023-06-19,16.252054794520546,837,1,,,784,,1-181,8691768981,1,,,No,,Delete
https://app.hubspot.com/contacts/21458556/ticket/2862433184,hometownrealtynd.com,2862433184,2024-06-20,2024-06-24,Cancelled Final,,Yes,,Other,,,,Blair Ackiss,,,5,Low Touch,Billing,3,Full Account,Pro Site,2020-05-05,2024-06-24,4.13972602739726,704,1,,,1630,3-2095,3-2095,8691769221,1,Lost Customer,,No,,Delete
https://app.hubspot.com/contacts/21458556/ticket/1475245696,realpropertyteam.com,1475245696,,2023-03-31,Cancelled Final,,Yes,,kvCORE,Ryan Anderson,,,,,,60,Low Touch,Billing,15,Full Account,Pro Site,2021-12-07,2023-05-03,1.3123287671232877,15528,13,,,415,,15-3695,8691769455,1,,,Yes,,Delete
https://app.hubspot.com/contacts/21458556/ticket/1555094275,williamreed.com,1555094275,,2023-05-04,Cancelled Final,,Yes,,kvCORE,Ashley Ali,,,,,,33,,Billing,4,Full Account,Pro Site,2020-09-08,2023-05-04,2.652054794520548,918,1,,,538,,4-2466,8691769713,1,,,No,,Delete
https://app.hubspot.com/contacts/21458556/ticket/2204501641,haleyrealtyteam.com,2204501641,2023-12-22,2024-01-01,Cancelled Final,,Yes,,Lofty (formerly Chime),,,,,,,19,Low Touch,Billing,1,Full Account,Pro Site,2020-07-10,2024-01-01,3.4794520547945207,5781,17,,,1216,,1-2300,8691769754,1,,,Yes,,Delete
https://app.hubspot.com/contacts/21458556/ticket/1658539045,mammothrealtysearch.com,1658539045,,2023-06-27,Cancelled Final,,Yes,,,,,,,,,5,,Billing,1,Full Account,IDX Search Tools Only,2007-12-03,2023-06-27,15.575342465753424,87,2,,,701,,1-141,8691770150,1,,,No,,Delete
https://app.hubspot.com/contacts/21458556/ticket/1606357605,beltondreamhomes.com,1606357605,,2023-06-13,Cancelled Final,,Yes,,Brivity,Ashley Ali,,,,,,11,,Billing,9,Full Account,Pro Site,2019-04-29,2023-06-13,4.126027397260274,22310,7,,,627,,9-1382,8691776305,1,,,Yes,,Delete
https://app.hubspot.com/contacts/21458556/ticket/2394814101,darwaldenteam.com,2394814101,2024-02-20,2024-03-25,Cancelled Final,,Yes,,Brivity,,,,,,,9,Low Touch,Billing,14,Full Account,Pro Site,2018-02-14,2024-08-06,6.112328767123287,0,0,,,1349,,14-871,8691776315,1,,,No,,Delete
https://app.hubspot.com/contacts/21458556/ticket/2394814101,darwaldenteam.com,2394814101,2024-02-20,2024-03-25,Cancelled Final,,Yes,,Brivity,,,,,,,9,Low Touch,Billing,14,Full Account,Exec (Seller Focused) Site,2018-02-14,2024-08-06,6.112328767123287,14308,10,,,1349,,14-872,8691776315,1,,,Yes,,Delete
https://app.hubspot.com/contacts/21458556/ticket/3059348536,texasrealtyexchange.com,3059348536,2024-08-01,2024-08-05,Cancelled Final,,Yes,I wasn’t using it enough,,,,,Melinie Weaver,,,20,Low Touch,Billing,9,Full Account,Pro Site,2019-10-17,2024-08-05,4.8054794520547945,3911,8,,,1730,9-1651,9-1651,8691776325,1,Lost Customer,,Yes,Started using it by the request of an agent. She is no longer with us.,Delete
https://app.hubspot.com/contacts/21458556/ticket/2678126924,yournwahome.com,2678126924,2024-05-01,2024-05-17,Client Retained/Changed Mind,,Yes,,,,,,Ryan Anderson,,,108,Low Touch,Billing,16,Full Account,Pro Site,2017-08-31,,6.715068493150685,10833,14,,,1516,16-735,16-735,8691776373,1,Customer,,Yes,,Active
https://app.hubspot.com/contacts/21458556/ticket/1514694178,searchallegiancehomes.com,1514694178,,2023-04-20,Cancelled Final,,Yes,,kvCORE,Josh Wald,,,,,,19,,Billing,10,Full Account,Pro Site,2020-08-06,2023-04-20,2.7041095890410958,3546,7,,,485,,10-2376,8691776658,1,,,Yes,,Delete
https://app.hubspot.com/contacts/21458556/ticket/1702459937,calltish.com,1702459937,,2023-06-19,Cancelled Final,,Yes,,,,,,,,,13,,Billing,1,Full Account,Legacy Stealth Site,2014-04-04,2023-06-19,9.213698630136987,87,1,,,785,,1-463,8691776841,1,,,No,,Delete
https://app.hubspot.com/contacts/21458556/ticket/1319278686,yourhbg.com,1319278686,,2023-01-16,Cancelled Final,,Yes,,,Ashley Ali,,,,,,10,,Billing,3,Full Account,Pro Site,2020-07-02,2023-01-16,2.5424657534246577,2497,5,,,196,,3-2272,8691777349,1,,,No,,Delete
https://app.hubspot.com/contacts/21458556/ticket/1750934192,searchcalgaryproperties.ca,1750934192,,2023-08-07,Cancelled Final,,Yes,,,,,,Blair Ackiss,,,98,Low Touch,Billing,11,Full Account,Pro Site,2019-09-25,2023-08-07,3.8684931506849316,12622,4,,,845,,11-1604,8691777657,1,,,No,,Delete
https://app.hubspot.com/contacts/21458556/ticket/1891512489,greatnhrealestate.com,1891512489,,2023-09-15,Cancelled Final,,Yes,,,,,,Cedric Zebaze,,,35,Low Touch,Billing,15,Full Account,Pro Site,2020-12-31,2023-09-15,2.706849315068493,2775,3,,,954,,15-2801,8691777663,1,,,No,,Delete
https://app.hubspot.com/contacts/21458556/ticket/2324012681,elainekochgroup.com,2324012681,2024-02-01,2024-02-07,Cancelled Final,,Yes,,,,,,,,,62,,Billing,10,Full Account,Pro Site,2019-04-12,2024-02-07,4.8273972602739725,4657,4,,,1324,,10-1355,8691784477,1,,,No,,Delete
https://app.hubspot.com/contacts/21458556/ticket/1702834592,gariepygroup.com,1702834592,,2023-06-19,Cancelled Final,,Yes,,,,,,,,,10,,Billing,1,Full Account,Legacy Site,2011-02-09,2023-06-19,12.364383561643836,462,1,,,790,,1-296,8691784549,1,,,No,,Delete
https://app.hubspot.com/contacts/21458556/ticket/2097228555,liveinva.com,2097228555,,2023-11-22,Cancelled Final,,Yes,,Inside Real Estate,,,,,,,25,Low Touch,Billing,10,Full Account,Pro Site,2020-10-06,2023-11-22,3.128767123287671,1284,1,,,1153,,10-2552,8691784737,1,,,No,,Delete
https://app.hubspot.com/contacts/21458556/ticket/1893129280,thehomegen.com,1893129280,,2023-09-28,Cancelled Final,,Yes,,Ylopo,Ryan Anderson,,,,,,33,Low Touch,Billing,15,IDX Only,Pro Site,2022-01-19,2023-09-28,1.6904109589041096,29950,9,,,957,,15-3816,8691784765,1,,,No,,Delete
https://app.hubspot.com/contacts/21458556/ticket/1172588067,propertypeddler.com,1172588067,,,Pending,,,,,,,,,,,9,,Billing,5,CRM Only,CRM Only,2021-09-21,2022-11-01,,1287,8,,,84,,5-3473,8691785052,1,,,No,,Delete
https://app.hubspot.com/contacts/21458556/ticket/1278551911,jsrealestate.com,1278551911,,2023-06-09,Cancelled Final,,Yes,,,Josh Wald,,,,,,30,,Billing,3,Full Account,Pro Site,2020-09-28,2023-06-11,2.695890410958904,633,1,,,159,,3-2518,8691785753,1,,,No,,Delete
https://app.hubspot.com/contacts/21458556/ticket/1702701426,compassrealtors.com,1702701426,,2023-06-19,Cancelled Final,,Yes,,,,,,,,,8,,Billing,1,Full Account,Legacy Site,2012-10-24,2023-06-21,10.657534246575343,144,7,,,787,,1-382,8691785876,1,,,Yes,,Delete
https://app.hubspot.com/contacts/21458556/ticket/1448917541,supremerealestatekc.com,1448917541,,,Short Term Reactivation,,,,,,,,Melinie Weaver,,,46,Core,Billing,,,,,,,,,,,388,3-3367,,8691800446,1,Customer,,No,,
https://app.hubspot.com/contacts/21458556/ticket/2053215395,lexisre.com,2053215395,,2023-11-09,Cancelled Final,,Yes,,Inside Real Estate,,,,,,,11,Low Touch,Billing,2,CRM Only,CRM Only,2020-12-09,2023-11-09,2.9178082191780823,469,5,,,1094,,2-2757,8691800668,1,,,No,,Delete
https://app.hubspot.com/contacts/21458556/ticket/1335587594,,1335587594,,,Client Retained/Changed Mind,,,,,,,,Blair Ackiss,,,561,,Billing,,,,,,,,,,,220,9-412,,8691800742,1,Customer,,No,,
https://app.hubspot.com/contacts/21458556/ticket/2061843795,blueprintgroups.com,2061843795,,2023-11-27,Client Retained/Changed Mind,,Yes,,,,,,Blair Ackiss,,,15,Low Touch,Billing,2,Full Account,Pro Site,2020-06-01,,3.4904109589041097,1238,5,,,1106,2-2160,2-2160,8691800750,1,Customer,,No,,Active
https://app.hubspot.com/contacts/21458556/ticket/2006964330,citihomes.com,2006964330,,2023-10-25,Cancelled Final,,Yes,,,Josh Wald,,,,,,9,Low Touch,Billing,13,Full Account,Pro Site,2021-06-15,2023-10-25,2.361643835616438,57,5,,,1055,,13-3246,8691800861,1,,,No,,Delete
https://app.hubspot.com/contacts/21458556/ticket/2051050523,uprisetx.net,2051050523,,2023-11-28,Cancelled Final,,Yes,,,,,,,,,87,High Touch,Billing,9,Full Account,Pro Site,2021-06-14,2023-11-28,2.4575342465753423,10598,5,,,1092,,9-3239,8691800958,1,,,No,,Delete
https://app.hubspot.com/contacts/21458556/ticket/3140359975,urbanoahu.com,3140359975,2024-08-22,2024-08-27,Cancelled Final,,Yes,I wasn’t using it enough,,Mia Newton,,,Ryan Anderson,,,13,Low Touch,Billing,4,Full Account,Pro Site,2020-05-15,2024-08-27,4.287671232876712,1246,3,"In survey, they indicated they are just not using the platform enough, no longer need the product. (Customer since 2020).",,1779,4-2119,4-2119,8691801730,1,Lost Customer,,No,"Sierra is a great product, I just don't need it anymore.",Delete
https://app.hubspot.com/contacts/21458556/ticket/2416797092,renzorealestate.com,2416797092,2024-02-27,2024-03-14,Cancelled Final,,Yes,,Other,Gates Hoham,,,,,,26,Low Touch,Billing,11,Full Account,Pro Site,2019-07-18,2024-03-14,4.66027397260274,754,1,,,1369,,11-1478,8691802259,1,,,No,,Delete
https://app.hubspot.com/contacts/21458556/ticket/3179156389,buddyblake.com,3179156389,2024-09-04,2024-09-23,Cancellation Scheduled/in Progress,,Yes,I found another solution,AgentFire,,,,Ryan Anderson,,,280,High Touch,Billing,7,Full Account,Exec (Buyer Focused) Site,2016-07-08,,8.216438356164383,46411,12,"Client's focus has changed; their services and values are different than when first joining.
",,1811,7-582,7-582,8691808262,1,Customer,,Yes,,Active
https://app.hubspot.com/contacts/21458556/ticket/2432827747,lighthouseresidential.com,2432827747,2024-03-01,2024-03-07,Cancelled Final,,Yes,,Other,Tasha Stevens,,,,,,39,Low Touch,Billing,6,IDX Only,Ace Site,2022-02-23,2024-03-07,2.0356164383561643,353,12,,,1383,,6-3914,8691808383,1,,,No,,Delete
https://app.hubspot.com/contacts/21458556/ticket/1696787973,robpailes.com,1696787973,,2023-06-16,Cancelled Final,,Yes,,,,,,,,,14,,Billing,2,Full Account,Legacy Site,2011-09-26,2023-06-16,11.728767123287671,553,1,,,775,,2-327,8691808667,1,,,No,,Delete
https://app.hubspot.com/contacts/21458556/ticket/1738563330,jameshomes.ca,1738563330,,2023-08-01,Cancelled Final,,Yes,,,,,,,,,21,Low Touch,Billing,11,Full Account,Pro Site,2019-10-24,2023-08-01,3.7726027397260276,1443,2,,,836,,11-1670,8691808903,1,,,No,,Delete
https://app.hubspot.com/contacts/21458556/ticket/1802543128,minteerrealestateteam.com,1802543128,,2023-08-23,Cancelled Final,,Yes,,,,,,,,,4,Low Touch,Billing,9,Full Account,Pro Site,2018-04-24,2023-08-23,5.3342465753424655,2505,6,,,890,,9-916,8691809058,1,,,Yes,,Delete
https://app.hubspot.com/contacts/21458556/ticket/1174590533,paulaburrows.com,1174590533,,,Pending,,,,,,,,Ryan Anderson,,,17,,Billing,,,,,,,,,,,86,14-3283,,8691809132,1,Customer,,No,,
https://app.hubspot.com/contacts/21458556/ticket/2427279514,missionrealty.com,2427279514,2024-03-01,2024-04-01,Cancelled Final,,Yes,,,,,,Cedric Zebaze,,,544,,Billing,10,Full Account,Premier Site,2016-08-02,2024-04-05,7.668493150684932,67310,26,,,1378,,10-592,8691814438,1,,,Yes,,Delete
https://app.hubspot.com/contacts/21458556/ticket/1125788247,findmyhometwincities.com(db-11),1125788247,,2023-04-28,Cancelled Final,,Yes,,Follow Up Boss (FUB),Josh Wald,,,,,,40,Low Touch,Billing,,,,,,,,,,,13,,,8691814583,1,,,No,,
https://app.hubspot.com/contacts/21458556/ticket/1319006020,,1319006020,,,Pending,,,,,,,,Blair Ackiss,,,228,Low Touch,Billing,,,,,,,,,,,194,10-1107,,8691814730,1,Customer,,No,,
https://app.hubspot.com/contacts/21458556/ticket/2619063620,kbellsells.com,2619063620,2024-04-12,2024-04-22,Cancelled Final,,Yes,,,,,,,,,61,Low Touch,Billing,12,Full Account,Pro Site,2018-04-03,2024-04-22,6.057534246575343,3807,5,,I appreciate your service through the years.,1471,12-905,12-905,8691814757,1,Lost Customer,,No,,Delete
https://app.hubspot.com/contacts/21458556/ticket/2849283332,meekerrealtygroup.com,2849283332,2024-05-13,2024-06-17,Cancelled Final,,Yes,,Luxury Presence,Josh Wald,,,Ryan Anderson,,,182,Low Touch,Billing,4,Full Account,Ace Site,2019-04-23,2024-06-17,5.156164383561644,21157,7,"In their survey response, client felt that since last year their calls, texts, and emails have stopped reaching clients. As they have not been able to get a solution, they are trying another CRM that also offers certain tracking features and integrations not available with Sierra.","We really feel that after the change last year, our phone calls, texts, and emails have stopped going through to our clients and leads and it has become an issue a huge with our connectivity rate and communication with our clients. We haven't been able to get a solution for this so we are going to try another CRM that will help us with this and also offers some other tracking features and integrations that Sierra did not offer.",1546,4-1375,4-1375,8691814797,1,Lost Customer,,Yes,,Delete
https://app.hubspot.com/contacts/21458556/ticket/2213207961,ottawaselect.ca,2213207961,2023-12-28,2024-01-03,Cancelled Final,,Yes,,Curaytor,,,,,,,127,Low Touch,Billing,11,Full Account,Pro Site,2020-05-01,2024-01-03,3.6767123287671235,9727,5,,,1227,,11-2084,8691814840,1,,,No,,Delete
https://app.hubspot.com/contacts/21458556/ticket/1269306484,,1269306484,,,Pending,,,,,,,,,,,29,,Billing,,,,,,,,,,,95,,,8691815000,1,,,No,,
https://app.hubspot.com/contacts/21458556/ticket/2952680201,kathyellis.com,2952680201,2024-07-11,2024-07-17,Cancelled Final,,Yes,,Other,,,,Melinie Weaver,,,36,Low Touch,Billing,4,Full Account,Pro Site,2019-11-19,2024-07-17,4.663013698630137,477,1,,,1691,4-1723,4-1723,8691815320,1,Lost Customer,,No,,Delete
https://app.hubspot.com/contacts/21458556/ticket/1512210290,,1512210290,,,Client Retained/Changed Mind,,,,,,,,,,,109,,Billing,,,,,,,,,,,474,,,8691815594,1,,,No,,
https://app.hubspot.com/contacts/21458556/ticket/1858319452,trustedrealestateguide.com,1858319452,,2023-08-28,Cancelled Final,,Yes,,,Ryan Anderson,,,,,,9,Low Touch,Billing,,,,,,,,,,,930,,,8691816246,1,,,No,,
https://app.hubspot.com/contacts/21458556/ticket/2774585248,spradlingrealtygroup.com,2774585248,2024-05-29,2024-06-20,Cancelled Final,,Yes,,Follow Up Boss (FUB),,,,Ryan Anderson,,,142,Low Touch,Billing,3,Full Account,Pro Site,2018-06-29,2024-06-20,5.980821917808219,1,49," Client moved to FUB and inquired about moving to IDX only but did not move forward. In churn survey, they pointed to a lack of platform features, technical and customer service issues as reasons for cancellation.",,1581,3-983,3-983,8691816249,1,Lost Customer,,Yes,,Delete
https://app.hubspot.com/contacts/21458556/ticket/1126105734,kolerealestate.com,1126105734,,,Pending,,,,,,,,,,,17,,Billing,4,Full Account,Pro Site,2021-09-02,2022-09-16,,32,3,,,27,,4-3438,8691816573,1,,,No,,Delete
https://app.hubspot.com/contacts/21458556/ticket/2065685866,fetrowteam.com,2065685866,,2023-11-28,Cancelled Final,,Yes,,Curaytor,,,,Ryan Anderson,,,108,Growth,Billing,9,Full Account,Exec (Buyer Focused) Site,2019-10-03,,4.156164383561644,5499,9,,,1113,9-1627,9-1627,8691816752,1,Customer,,Yes,,Active
https://app.hubspot.com/contacts/21458556/ticket/2596258583,olaniproperties.com,2596258583,2024-04-11,2024-04-26,Cancelled Final,,Yes,,Luxury Presence,James Finnerty,,,,,,53,Low Touch,Billing,4,Full Account,Ace Site,2018-07-12,2024-04-26,5.794520547945205,20032,7,,Financial decision. We have been long time users of Sierra but there are cheaper options with better mobile usage,1475,4-997,4-997,8691821926,1,Lost Customer,,Yes,,Delete
https://app.hubspot.com/contacts/21458556/ticket/1179247523,greaterdmvhomes.com,1179247523,,,Pending,,,,,,,,,,,109,,Billing,10,Full Account,Pro Site,2020-07-27,2022-12-05,,1803,2,,,91,,10-2342,8691822110,1,,,No,,Delete
https://app.hubspot.com/contacts/21458556/ticket/1694074192,michaellogsdon.com,1694074192,,2023-06-15,Cancelled Final,,Yes,,,,,,,,,7,,Billing,1,Full Account,Legacy Site,2007-04-19,2023-06-15,16.167123287671235,32,1,,,760,,1-88,8691822181,1,,,No,,Delete
https://app.hubspot.com/contacts/21458556/ticket/1405566389,robbydearth.com,1405566389,,2023-03-01,Cancelled Final,Yes - client is keeping separate Sierra site(s) active,Yes,,,Ryan Anderson,,,,,,26,,Billing,4,Full Account,Pro Site,2021-05-20,2023-03-01,1.7808219178082192,1072,2,,,332,,4-3182,8691822230,1,,,No,,Delete
https://app.hubspot.com/contacts/21458556/ticket/2210753796,shiftutah.com,2210753796,2023-12-26,2024-01-08,Cancelled Final,,Yes,,,,,,,,,22,Low Touch,Billing,3,Full Account,Pro Site,2018-09-04,2024-01-08,5.347945205479452,12820,8,,,1220,,3-1064,8691822365,1,,,Yes,,Delete
https://app.hubspot.com/contacts/21458556/ticket/1416679250,bos.realestate,1416679250,,2023-06-05,Cancelled Final,,Yes,,,,,,,,,28,,Billing,15,Full Account,Pro Site,2020-04-24,2023-06-08,3.115068493150685,1451,1,,,349,,15-2062,8691822608,1,,,No,,Delete
https://app.hubspot.com/contacts/21458556/ticket/1823214136,edmontonrealestate.life,1823214136,,2023-08-21,Cancelled Final,,Yes,,Lofty (formerly Chime),,,,,,,38,Low Touch,Billing,11,Full Account,Pro Site,2020-05-07,2023-08-21,3.2904109589041095,9041,4,,,909,,11-2098,8691822726,1,,,No,,Delete
https://app.hubspot.com/contacts/21458556/ticket/1407216745,movetorochester.com,1407216745,,2023-05-01,Client Retained/Changed Mind,,,,,,,,Ryan Anderson,,,39,Low Touch,Billing,11,Full Account,Ace Site,2019-11-25,,3.4328767123287673,7576,5,,,337,11-1738,11-1738,8691822850,1,Customer,,No,,Active
https://app.hubspot.com/contacts/21458556/ticket/1732035999,niceagents.ca,1732035999,,2023-07-17,Cancelled Final,,Yes,,,Gates Hoham,,,,,,61,,Billing,11,Full Account,Pro Site,2021-11-08,2023-07-17,1.6876712328767123,1654,5,,,832,,11-3615,8691822976,1,,,No,,Delete
https://app.hubspot.com/contacts/21458556/ticket/1264019818,letsmovetosouthflorida.com,1264019818,,2023-03-02,Cancelled Final,,Yes,,,Josh Wald,0.0,,,,,2,Core,Billing,,,,,,,,,,,122,,,8691823010,1,,,No,,
https://app.hubspot.com/contacts/21458556/ticket/3127226159,bucksproperties.com,3127226159,2024-08-19,2024-08-20,Cancelled Final,,Yes,I found another solution,,,,,Melinie Weaver,,,63,Low Touch,Billing,6,Full Account,Pro Site,2020-03-10,2024-08-20,4.449315068493151,12029,6,Client since 2020 - Found a different solution / unhappy with quality of leads,,1775,6-1959,6-1959,8691823905,1,Lost Customer,,Yes,Generating quality leads thru PPC,Delete
https://app.hubspot.com/contacts/21458556/ticket/1876858985,exploresfpeninsula.com,1876858985,,2023-09-18,Cancelled Final,,Yes,,Other; Compass,,,,,,,5,Low Touch,Billing,4,Full Account,Ace Site,2020-05-20,2023-09-18,3.3315068493150686,93,1,,,942,,4-2133,8691824255,1,,,No,,Delete
